Date,Dividends
2007-12-24,0.061
2012-09-25,0.06
2015-05-22,0.08
2019-02-22,0.094
2016-03-16,0.079
2011-12-23,0.053
2016-09-14,0.086
2019-05-24,0.09
2009-07-28,0.074
2020-03-25,0.094
2015-12-29,0.077
2020-09-24,0.074
2013-07-24,0.067
2009-04-27,0.075
2014-01-24,0.067
2010-08-26,0.07
2020-12-30,0.08
2011-02-23,0.07
2017-07-24,0.081
2007-09-25,0.06
2008-03-26,0.07
2013-04-23,0.064
2018-01-25,0.075
2014-08-22,0.068
2015-02-20,0.074
2011-09-27,0.055
2012-03-27,0.06
2017-04-21,0.085
2018-08-27,0.109
2008-10-28,0.074
2015-03-18,0.074
2015-09-16,0.076
2019-03-25,0.094
2012-10-26,0.06
2019-09-24,0.103
2009-11-25,0.074
2016-10-24,0.088
2013-11-22,0.065
2019-12-30,0.09
2020-10-26,0.08
2007-03-27,0.213
2017-11-22,0.077
2009-05-26,0.075
2011-03-28,0.055
2014-03-19,0.067
2014-09-17,0.068
2020-04-24,0.104
2007-07-26,0.07
2018-03-23,0.075
2018-09-19,0.109
2008-11-25,0.074
2011-07-26,0.055
2007-04-25,0.07
2012-11-27,0.06
2018-12-28,0.097
2015-07-24,0.076
2011-04-26,0.055
2016-01-22,0.079
2016-11-23,0.088
2008-05-27,0.07
2019-07-25,0.103
2010-03-26,0.069
2015-04-23,0.08
2020-01-27,0.094
2020-11-24,0.08
2012-05-28,0.06
2019-04-24,0.09
2008-12-24,0.072
2009-06-25,0.074
2010-10-26,0.07
2016-05-24,0.083
2007-11-27,0.06
2012-12-24,0.062
2013-06-19,0.064
2014-10-24,0.065
2020-05-22,0.104
2010-01-26,0.074
2011-11-25,0.055
2016-12-28,0.088
2017-06-23,0.085
2018-10-25,0.09
2015-11-23,0.077
2007-05-28,0.07
2008-09-25,0.074
2019-11-26,0.09
2011-05-26,0.055
2018-04-24,0.094
2008-06-25,0.07
2019-08-26,0.103
2009-10-27,0.074
2012-06-26,0.06
2013-10-24,0.067
2009-01-27,0.072
2010-11-25,0.07
2016-06-15,0.083
2017-10-25,0.077
2014-11-21,0.065
2020-06-24,0.104
2018-11-27,0.09
2010-05-26,0.058
2007-06-26,0.07
2014-05-23,0.07
2018-02-22,0.075
2010-12-24,0.07
2011-06-27,0.055
2018-05-25,0.094
2008-01-28,0.061
2008-07-28,0.07
2014-12-29,0.065
2015-06-17,0.08
2012-01-26,0.061
2012-07-26,0.06
2008-04-25,0.07
2019-06-19,0.09
2013-01-24,0.062
2009-08-26,0.074
2016-07-22,0.086
2010-02-23,0.074
2012-04-25,0.06
2017-01-24,0.089
2013-08-23,0.067
2014-02-21,0.067
2020-07-27,0.074
2010-09-27,0.07
2016-04-22,0.083
2021-01-25,0.079
2006-12-22,0.221
2017-08-24,0.081
2007-10-26,0.06
2013-05-24,0.064
2017-02-21,0.089
2009-12-24,0.074
2010-06-25,0.07
2011-10-26,0.055
2017-05-24,0.085
2021-02-22,0.079
2013-12-27,0.142
2014-06-18,0.07
2015-10-23,0.077
2011-01-26,0.07
2018-06-25,0.094
2008-08-26,0.07
2019-10-25,0.09
2009-02-24,0.072
2012-08-28,0.06
2013-02-21,0.062
2009-09-25,0.074
2016-08-24,0.086
2013-03-21,0.064
2013-09-18,0.067
2020-08-25,0.074
2020-02-24,0.094
2017-03-24,0.089
2017-09-25,0.081
2010-07-27,0.07
2007-08-28,0.07
2017-12-28,0.077
2008-02-26,0.061
2014-07-24,0.068
2010-04-27,0.069
2015-01-23,0.074
2011-08-26,0.055
2012-02-24,0.061
2018-07-25,0.109
2009-03-26,0.075
2014-04-23,0.07
2019-01-25,0.094
2015-08-24,0.076
2016-02-22,0.079